Evento,Fecha,HoraUTC,HoraLocal,Latitud,Longitud,Profundidad,Magnitud,Tipo_Magnitud,Intensidad,Localizacion,Imagen
es2021tmtjw,05/10/2021,07:10:36,08:10:36,28.5586,-17.8389,14,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tmsss,05/10/2021,06:50:38,07:50:38,28.5806,-17.8659,34,3.1,mbLg,II,S EL PASO.ILP,NA
es2021tmrzg,05/10/2021,06:27:59,07:27:59,28.6207,-17.8251,30,3.0,mbLg,I-II,NW VILLA DE MAZO.ILP,NA
es2021tmrjx,05/10/2021,06:10:03,07:10:03,28.5642,-17.8242,11,3.2,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tmrak,05/10/2021,05:58:57,06:58:57,28.6442,-17.7765,37,3.3,mbLg,II,W BREÑA BAJA.ILP,NA
es2021tmqgj,05/10/2021,05:35:36,07:35:36,37.1846,-3.7095,,1.5,mbLg,II,SE SANTA FE.GR,NA
es2021tmnsk,05/10/2021,04:18:43,05:18:43,28.6068,-17.7926,37,3.4,mbLg,II-III,W VILLA DE MAZO.ILP,NA
es2021tmmii,05/10/2021,03:36:38,04:36:38,28.6168,-17.8083,38,3.9,mbLg,III,NW VILLA DE MAZO.ILP,NA
es2021tmlho,05/10/2021,03:05:27,04:05:27,28.5580,-17.8421,14,3.5,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tmkur,05/10/2021,02:50:27,03:50:27,28.5568,-17.8186,14,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tmhfs,05/10/2021,01:02:06,02:02:06,28.5534,-17.8621,10,3.2,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tmcte,04/10/2021,22:46:12,23:46:12,28.5659,-17.8489,11,3.1,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tmbsh,04/10/2021,22:14:54,23:14:54,28.5651,-17.8287,10,3.4,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tlzdx,04/10/2021,20:58:06,21:58:06,28.5617,-17.8438,11,2.9,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlxts,04/10/2021,20:15:21,21:15:21,28.5574,-17.8226,10,2.6,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
